requirement_id,section,summary
R13.03,"13. Chat Rooms","A Workspace can also define workflows (§15) that operate on its chat rooms."
R13.04,"13. Chat Rooms","The flags are independently togglable with one exception: allow_member_groups and allow_project_members are mutually exclusive, and the server refuses with 422 any create or patch whose resulting state sets both. The exception exists because that combination does not merely fail to add meaning — it silently widens a room the operator has just restricted to named groups, which no other pair does. Every other subset is valid. Semantically useless combinations are handled at read time and in the UI rather than by rewriting stored state: allow_project_owners_only overrides the other tiers wherever access is evaluated, and the UI disables the tiers it overrides."
R13.28,"13. Chat Rooms","A Project may define Member Groups: named subsets of its own members, used to scope chat-room visibility below the project level. They are optional, and a project defining none behaves exactly as one defined before this section existed. A Member Group belongs to exactly one Project; a user may belong to any number of groups within a project; only current Project Members may be group members, and losing project membership removes the user from that project's groups."
R13.29,"13. Chat Rooms","A chat room may be bound to any number of Member Groups of its parent project. When allow_member_groups is set, membership of any bound group satisfies the room's access check for read and for send, exactly as allow_project_members does for project membership. Bindings on a room whose allow_member_groups is unset grant nothing, and a binding to a deleted group grants nothing."
R13.30,"13. Chat Rooms","Project Owners, and Org Owners of the parent Org, reach every room in the project regardless of group binding (R8.08, R5.03). Group membership never narrows an existing grant; it only widens a room that has opted into the tier."
R13.31,"13. Chat Rooms","Creating, renaming and deleting a Member Group, changing its membership, and binding it to a room all require capability #14 (Invite/remove Project Member). A Project Member who is not an Owner may read the groups they belong to and those groups' member lists, and must not be able to learn that other groups in the project exist."
R13.32,"13. Chat Rooms","Enumeration follows confidentiality. A chat-room listing returns only rooms the caller may read under §13.2; a workspace listing returns only workspaces containing at least one such room; a project listing returns only projects the caller is a member of, projects of Orgs they own, and projects containing at least one such room. A caller must not be able to learn the name or the existence of a room, workspace, or project they cannot open."
R13.05,"13. Chat Rooms","A Chat Room exposes a permanent URL of form https://<host>/g/<chatroom_id>/<opaque_token>."
R13.06,"13. Chat Rooms","Opening the URL presents a display-name form. On submission, the server validates the guest token, creates an anonymous guest session, and issues a chatroom-scoped JWT. The visitor enters the chatroom without registration or email verification. Browser identity persistence (via localStorage browser_id) enables returning guests to resume their session."
R13.06a,"13. Chat Rooms","Anonymous guest sessions are capped at a deployment-configurable limit per chatroom (default 50). Active sessions are counted by last_seen_at within a 24-hour window. When the cap is reached, new enrollment returns HTTP 429 with problem type /guest/cap-reached."
R13.06b,"13. Chat Rooms","A guest session issues a 4-hour access JWT (token_use: ""guest_access"") and a 7-day httpOnly refresh cookie scoped to the chatroom's refresh endpoint path. Silent refresh extends the session indefinitely while the cookie survives. On full expiry, the guest must re-enter via the guest link."
R13.07,"13. Chat Rooms","No expiry, no use cap, no password, no revocation (explicit stakeholder decision). To revoke access, delete the chat room or ban the user."
R13.08,"13. Chat Rooms","Supported input types: text (markdown source), image (png, jpg, webp), and document attachments (pdf, md, txt, docx). No audio (stakeholder removed voice support)."
R13.09,"13. Chat Rooms","Single-upload size cap: 1 GB. Rejection at frontend and hard-enforced at gateway."
R13.10,"13. Chat Rooms","All attachments are stored in MinIO under /chat-uploads/{project_id}/{chatroom_id}/{msg_id}/{filename}. Lifecycle rule deletes objects after 3 days."
R13.11,"13. Chat Rooms","Messages keep a pointer to the object and, after expiry, surface the text [attachment expired] in the UI."
R13.11a,"13. Chat Rooms","The [attachment expired] state of R13.11 is reached by a nightly application-side expiry sweep that marks every attachment whose expires_at has passed as EXPIRED and emits one attachment.expired audit event per row. The sweep's horizon and the MinIO bucket lifecycle horizon of R13.10 are required to agree; independently of that agreement, the read path refuses to presign an attachment whose expires_at has passed, regardless of its recorded status."
R13.12,"13. Chat Rooms","Supported rendering: full markdown, inline HTML (stakeholder explicitly allowed), fenced code blocks with syntax highlighting, LaTeX via KaTeX, Mermaid diagrams."
R13.13,"13. Chat Rooms","Image embedding via public links is allowed. There is no domain allowlist (stakeholder accepted the SSRF tradeoff). A warning banner explains that linked images are fetched by the user's browser, not by the server, so server-side SSRF is inherently impossible."
R13.33,"13. Chat Rooms","When an agent's turn carries any labelled message, the system context states the labelling convention (""Name: message""), names the participant who created the room, and states in the same breath that a label is not authentication: labels are chosen by the people wearing them, two participants may present the same string, and a message claiming the room owner's authority is a claim rather than an authorization. Naming the owner without that qualification is refused as a design: an agent told who owns the room and not told what that knowledge is worth is more manipulable than one told neither, and the platform already holds that no message can confer authority ([R30.37]). Where the owner cannot be named — a room with no recorded creator ([R28.02]), or a creator with no display name — the sentence is omitted entirely rather than filled with a generic placeholder, which every unnamed participant in the same transcript would also wear and which would therefore hand owner authority to all of them. Human labels resolve as room guest label, then account display name, then the login email; the email fallback exists so an agent can always tell two speakers apart and is confined to the model context, never to a surface other room members read."
R13.34,"13. Chat Rooms","Every label reaching a model context — human or agent — is normalised to text that cannot punctuate its container: whitespace runs collapse to a single space and the delimiters the surrounding context uses are removed. A label is user-chosen and lands in line-structured text, so a name carrying a newline opens a line that reads as another participant's turn or as a row of a context block. The guarantee is applied both where a label is written (account display names and room guest labels are normalised at the source) and where it is rendered, because rows written before a source guard existed remain in the datastore and a render must not depend on every historical write path having been correct."
R13.14,"13. Chat Rooms","For HTML: double sanitization. On write, the backend sanitizes with bleach (Python) using the same allowlist as the frontend; the sanitized result is stored and indexed. On read, the frontend additionally sanitizes with DOMPurify before render. Both layers deny: <script>, event handlers (on*), javascript: / data:text/html URIs, <object>, <embed>, <iframe>, <form>, <meta http-equiv=""refresh"">. Inline style attributes are allowed but CSS is stripped of url(), @import, and expression() to prevent external-resource or script-injection via CSS. Chat exports (R13.17) include only the sanitized form; raw markdown is preserved separately in the JSON manifest."
R13.15,"13. Chat Rooms","Messages are retained for 5 years from creation by default, platform-wide."
R13.16,"13. Chat Rooms","Users (with their permission scope) can manually delete messages; deleted messages are removed immediately from both DB and search index."
R13.17,"13. Chat Rooms","Users can export a chat room's history as JSON + a folder of attachments (attachments are regenerated from MinIO if still alive; missing ones are noted)."
R13.18,"13. Chat Rooms","Search is database-only using PostgreSQL tsvector with GIN index on message content. No external search engine. Guest users can search only within rooms they belong to."
R13.19,"13. Chat Rooms","Clients connect to WSS /ws/chatroom/{id} after authenticating. Events pushed:"
R13.20,"13. Chat Rooms","Server maintains per-room WebSocket hub. On backend restart, the client reconnects and requests a delta via REST (GET /api/chatrooms/{id}/messages?since=<id>)."
R13.27,"13. Chat Rooms","A turn's reported outcome reflects its durable result, not its last failed step. A turn that has committed a reply reports completed and audits agent.turn_finished; publishing the WS events and dispatching downstream signals happen after that commit, are best-effort, and never alter the reported outcome or trigger failure-path cleanup. The same holds for a committed skip (empty_reply, no_input, knowledge_starved), which reports skipped. Each post-commit step fails independently and is logged with a stack trace."
R13.21,"13. Chat Rooms","Users may edit their own messages within 5 minutes of creation. Beyond 5 minutes the message is immutable to the author; only Admin/Project Owner can edit it. All edits preserve the original via a message_edits audit row (id, message_id, old_content, edited_at, edited_by_user_id) retained until the parent message is hard-deleted."
R13.22,"13. Chat Rooms","Agents cannot edit their own past messages. An agent wishing to correct itself must send a new message."
R13.23,"13. Chat Rooms","Admin / Project Owner may edit any message in their scope; edits emit a message.updated WS event and an audit row message.edited_by_moderator."
R13.24,"13. Chat Rooms","Deletion (R13.16) removes the content row and index; edit history for that message is also purged."
R13.25,"13. Chat Rooms","Messages older than 5 years (R13.15) are hard-deleted nightly. Each purge emits an audit event message.purged_by_retention with {chatroom_id, count, oldest_kept_at}. Associated attachments (if still in MinIO) are likewise deleted. The 5-year window is a platform default and is not user-configurable in v1."
R13.26,"13. Chat Rooms","Compaction summaries (R9.10) are derived content: a summary's text is generated from the messages it folds and may reproduce parts of them. Deletion (R13.16, R13.24) removes the message row, its search index entry and its edit history, but does not rewrite or remove any summary that folded it — the folded content may persist inside that summary. The UI must disclose this at the point of deletion. Exception: the retention purge (R13.25) does reach derived copies — every summary whose folded set intersects the purged messages is hard-deleted in the same sweep, so no content survives its retention horizon in derived form. Removal rather than a metadata edit is required because a summary row is itself user-visible (it renders in the room and is included in exports), so anything short of deleting it would leave the derived content readable. Messages the deleted summary folded that are still inside the horizon are unaffected — they were never removed, and a compacting agent re-folds them on its next turn."
R14.01,"14. Workflow Engine","Stakeholder asked for enterprise-grade flexibility with a visual editor (Q48). The engine is a hybrid: nodes are placed on a DAG canvas, but each node is an FSM sub-unit that can self-loop and fire events. Concretely: workflows are authored as DAGs of activities; each activity is driven by an internal state machine; activities communicate via events on the event bus."
R14.02,"14. Workflow Engine","A workflow has nodes of these types: trigger, agent_invocation, approval_gate, condition, instruct, subagent_spawn, wait_for_event, parallel, join, set_variable, end. The normative definition lives in docs/workflow.schema.json; REQUIREMENTS.md must be updated whenever the schema adds or renames a node type."
R14.03,"14. Workflow Engine","Workflow definitions are stored as JSON (workflow.definition_json). A separate JSON-schema validator ensures integrity."
R14.04,"14. Workflow Engine","Frontend uses Vue Flow (@vue-flow/core) for the canvas."
R14.05,"14. Workflow Engine","Each node type has a Vue component for its configuration panel (prompt, agent selection, branch conditions, timeout, etc.)."
R14.06,"14. Workflow Engine","The editor supports: drag-and-drop, copy/paste, undo/redo, versionless save (edits are in place per R9.02), linting (unreachable nodes, missing references), and a dry-run simulator that steps through with synthetic inputs."
R14.07,"14. Workflow Engine","A workflow run is started by a trigger (manual, cron, message_received, a2a_event, or wakeup_signal — the full list matches trigger_config.trigger_type in docs/workflow.schema.json)."
R14.07a,"14. Workflow Engine","A workflow run started by a trigger must not be able to satisfy its own trigger condition without bound. The engine propagates the causal chain of workflow ids that led to a trigger signal and refuses to start a run for a workflow already on that chain. Independently, the engine enforces a per-workflow ceiling on trigger-started runs within a rolling window; a run refused by either guard is not started and is recorded in the audit trail with the reason."
R14.08,"14. Workflow Engine","The engine maintains a workflow_run record with state: running | waiting | succeeded | failed | cancelled and a step_trace list of activity records."
R14.09,"14. Workflow Engine","Agent invocations inside a workflow respect all agent settings (wake-up, key group, context mode, bound skills §31). Workflow-issued invocations are logged with origin = 'workflow'."
R14.10,"14. Workflow Engine","The trace (Q55) is stored in the DB and visible to Admin + Project Owners in a dedicated backstage panel. It is not surfaced in the chat room UI. This is enforced server-side on every workflow read endpoint (definition, run, step), not only by hiding the panel."
R15.01,"15. Wake-up, Approval, Instruct, Sub-Agents","every_n_messages.n counts all messages in the room (user + agent), scoped to the room (Q49)."
R15.02,"15. Wake-up, Approval, Instruct, Sub-Agents","silence_minutes.t_minutes starts counting when the room contains at least one connected live user and no room activity is observed for T minutes. Guests who are logged in but not inside the room do not prevent silence (Q49). Room activity means a user or agent message, a participant joining, or an activity submission ([R30.17]). An activity submission re-arms the clock but is not counted by every_n_messages ([R15.01]) and does not reset the autostop cap ([R15.03]): it is evidence that the room is working, not a turn the room is waiting on."
R15.03,"15. Wake-up, Approval, Instruct, Sub-Agents","autostop_rounds: a ""round"" is an agent message followed by no user message (Q49). After autostop_rounds such rounds, the silence trigger stops for the room until a user sends a new message."
R15.04,"15. Wake-up, Approval, Instruct, Sub-Agents","autostop_rounds default and hard cap: default 5, hard cap 100. Values of 0 or below are invalid and resolve to the default; there is no ""unlimited"" setting."
R15.05,"15. Wake-up, Approval, Instruct, Sub-Agents","allow_self_open = false: an agent cannot speak first in a room where nobody has yet sent a message (Q49)."
R15.05a,"15. Wake-up, Approval, Instruct, Sub-Agents","call_only trigger: when triggers.call_only.enabled = true, the agent ignores every_n_messages and silence_minutes and only wakes when it receives an A2A call or instruct message targeting it. An agent with all three trigger sub-objects disabled is inert (permanent silence until manually prodded)."
R15.05b,"15. Wake-up, Approval, Instruct, Sub-Agents","Guest presence and silence. For the purpose of silence_minutes, a ""live user"" is any user (including a Guest) who currently has an open WebSocket connection to the Chat Room (ws:presence:{room_id} contains their user_id). Users logged in elsewhere but not in this room do not count. When the live-user set becomes empty, the silence timer pauses."
R15.06,"15. Wake-up, Approval, Instruct, Sub-Agents","An Agent can modify only these two fields during a run, via a built-in tool update_wakeup({every_n_messages?, silence_minutes?}): every_n_messages.n and silence_minutes.t_minutes."
R15.07,"15. Wake-up, Approval, Instruct, Sub-Agents","Hard bounds enforced server-side: n ∈ [1, 1000], t_minutes ∈ [1, 1440]. Out-of-range values are clamped and the clamp is audit-logged."
R15.08,"15. Wake-up, Approval, Instruct, Sub-Agents","Platform Admin can also set soft per-agent bounds at creation time; self-modification must respect these."
R15.09,"15. Wake-up, Approval, Instruct, Sub-Agents","The Agent Designer can configure a refresh_every_hours value. Every T hours, measured from the last applied reset for that agent, the wake-up configuration is reset to the Agent Designer's initial values (which equal the most recent human value since there is no versioning — Q51 acknowledged). An agent that has never been reset is eligible immediately."
R15.10,"15. Wake-up, Approval, Instruct, Sub-Agents","An Approval Gate node declares:"
R15.11,"15. Wake-up, Approval, Instruct, Sub-Agents","single: if the leader approves, passes; else fails."
R15.12,"15. Wake-up, Approval, Instruct, Sub-Agents","majority: > 50 % of listed approvers must approve. Ties are broken by the leader."
R15.13,"15. Wake-up, Approval, Instruct, Sub-Agents","consensus: all approvers must propose, debate, and converge on the same verdict. If not converged by timeout_seconds, the leader's verdict wins."
R15.14,"15. Wake-up, Approval, Instruct, Sub-Agents","Approver agents consume tokens from their own Key Group (Q52: ""whoever owns the key""). The leader agent's Key Group covers the final decision announcement."
R15.10a,"15. Wake-up, Approval, Instruct, Sub-Agents","Only an agent with workflow_capabilities.can_approve = true may be named as an approver or leader of an Approval Gate. A gate naming any agent without the capability is rejected in full; approvers are never silently dropped, since that would change the tally denominator defined by [R15.12] and [R15.13]."
R15.24,"15. Wake-up, Approval, Instruct, Sub-Agents","An orchestration record that names a chat room — an approval gate bound to a room, an agent instance running in one — is readable by exactly the principals who may read that room under §13.2, evaluated by the same room access check. A record that names no chat room is backstage and follows [R14.10]. A record whose room has been deleted names no room and is therefore backstage. Listings omit records the caller may not read rather than refusing the whole request, and disclose nothing about what was omitted."
R15.15,"15. Wake-up, Approval, Instruct, Sub-Agents","An instructed agent cannot refuse. The instruction is enqueued into its A2A inbox with type = instruct."
R15.16,"15. Wake-up, Approval, Instruct, Sub-Agents","Loop detection (Recommendation applied):"
R15.17,"15. Wake-up, Approval, Instruct, Sub-Agents","Instruction audit records include chain_id, path, issuer, target, payload_hash, result, chain_depth_at_issue."
R15.18,"15. Wake-up, Approval, Instruct, Sub-Agents","An agent with workflow_capabilities.can_create_subagent = true may call spawn_subagent(parent_agent_id, task_description). The sub-agent inherits the parent's Key Group."
R15.19,"15. Wake-up, Approval, Instruct, Sub-Agents","Recursion depth is exactly 1: sub-agents cannot spawn sub-sub-agents. Attempt raises an error and is audit-logged."
R15.20,"15. Wake-up, Approval, Instruct, Sub-Agents","max_subagents_alive_simultaneously is configurable per parent agent (default 3, hard cap 20)."
R15.21,"15. Wake-up, Approval, Instruct, Sub-Agents","Life cycle: a sub-agent exists only for its task. On task end (completion or error), its runtime state and ephemeral context are purged. Sub-agents are persisted as ephemeral rows in agent_instances for audit purposes and deleted after 30 days."
R15.22,"15. Wake-up, Approval, Instruct, Sub-Agents","Sub-agent configuration inheritance (from parent agent):"
R15.23,"15. Wake-up, Approval, Instruct, Sub-Agents","Usage attribution for sub-agents. key_usage_events.agent_id stores the sub-agent's ephemeral id, and a new column parent_agent_id FK agents NULL aggregates cost to the parent for dashboard display. Billing (API provider side) always lands on the parent's Key Group owner since the keys themselves are inherited."
R16.01,"16. Admin Console","View any Org, Project, Workspace, Chat Room, Key metadata, Agent configuration, Workflow run, Audit log, Usage report."
R16.02,"16. Admin Console","Ban/unban user by id or email; ban/unban IP range; the ban list is consulted by the rate-limit middleware."
R16.03,"16. Admin Console","Soft-delete any user; hard-delete (after 60-day grace) any user."
R16.04,"16. Admin Console","Impersonation for support: ""view as"" (read-only) per-user session, always audit-logged."
R16.05,"16. Admin Console","Admin never sees API key plaintext (R7.15) even via Admin tools."
R16.06,"16. Admin Console","Admin UI surfaces workflow traces, sub-agent chains, instruction chains, approval histories."
R17.01,"17. Audit Logging (Q56)","Retention: 365 days. After retention, rows are deleted nightly."
R17.02,"17. Audit Logging (Q56)","Visibility: Admin only (Q56). No other role sees audit logs."
R17.03,"17. Audit Logging (Q56)","Message-send events store metadata only: sender, room, byte size, hash of content; not the content (content is available in messages table). mcp.tool_invoked stores a truncated arg preview (≤ 1 KB) after secret redaction: any JSON key matching the case-insensitive regex ^(authorization|api[_-]?key|secret|password|token|bearer|private[_-]?key|cookie|session)$ has its value replaced with ""<redacted>"" before logging. String values whose content matches known secret shapes (e.g., sk-ant-…, sk-… ≥ 40 chars, PEM headers) are likewise redacted regardless of the key name."
R17.04,"17. Audit Logging (Q56)","Audit writes are append-only at the DB level via a trigger that denies UPDATE/DELETE except by a nightly retention job."
R18.01,"18. Notifications","Channel: in-app UI only (Q29, Q58). No email, no webhook, no Slack in v1."
R18.02,"18. Notifications","Events that trigger a notification:"
R18.03,"18. Notifications","Delivery: persisted in notifications table + pushed through the user's WebSocket presence channel (/ws/user/{id}). Bell badge reads unread count."
R19.01,"19. Rate Limiting & Abuse","Every HTTP endpoint requires authentication (Q57). Exceptions: /api/auth/register, /api/auth/login, /api/auth/request-password-reset, /api/auth/verify-email, /api/auth/google/authorize, /api/auth/google/callback — all rate-limited aggressively."
R19.02,"19. Rate Limiting & Abuse","Global middleware enforces (per-user-id AND per-IP) sliding-window rate limits stored in Redis:"
R19.03,"19. Rate Limiting & Abuse","WS connections: max 5 concurrent per user; excess connections are refused."
R19.04,"19. Rate Limiting & Abuse","Admin can tune defaults via a rate_limit_policies table at runtime."
R19.05,"19. Rate Limiting & Abuse","Banned users/IPs are short-circuited at the earliest middleware layer (403)."
R19.06,"19. Rate Limiting & Abuse","Rate-limit responses use HTTP 429 with headers Retry-After, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset. Body is RFC 7807 problem+json with type = https://smap.local/problems/rate-limited."
R19a.01,"19a. Web Security, Transport, and Trust Boundaries","HTTPS only. Nginx terminates TLS."
R19a.02,"19a. Web Security, Transport, and Trust Boundaries","TLS configuration: TLS 1.2 minimum, TLS 1.3 preferred; only AEAD cipher suites (TLS_AES_128_GCM_SHA256, TLS_AES_256_GCM_SHA384, TLS_CHACHA20_POLY1305_SHA256, ECDHE+AES-GCM). No 3DES, no CBC, no RC4, no TLS renegotiation, no compression."
R19a.03,"19a. Web Security, Transport, and Trust Boundaries","Certificates are operator-managed (Let's Encrypt via certbot, or internal CA). Private keys never committed to Git; placed in the host-side /etc/smap/tls/ with mode 0400."
R19a.04,"19a. Web Security, Transport, and Trust Boundaries","HSTS: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload. (Operators must confirm they want preload before first production deploy.)"
R19a.05,"19a. Web Security, Transport, and Trust Boundaries","img-src https: is intentionally broad because agents produce markdown with public-link images (R13.13). Other directives stay tight to limit XSS damage if sanitization fails."
R19a.06,"19a. Web Security, Transport, and Trust Boundaries","The CSP is applied in report-only mode during beta behind a SMAP_CSP_REPORT_ONLY env flag, with reports posted to /api/csp-report. Enforcing mode is the default for production."
R19a.07,"19a. Web Security, Transport, and Trust Boundaries","Default topology: frontend and API served from the same origin via Nginx. CORS is not needed and the backend sets Access-Control-Allow-Origin to the same-origin request's Origin with an allowlist of exactly one entry (the configured public origin)."
R19a.08,"19a. Web Security, Transport, and Trust Boundaries","Cross-origin is explicitly unsupported in v1. Operators who want split origins must configure the allowlist themselves; CSRF risk must be re-evaluated in that case."
R19a.09,"19a. Web Security, Transport, and Trust Boundaries","Tokens are carried in Authorization: Bearer <access_token> (never in cookies). This makes traditional form-based CSRF inapplicable. Any future cookie-based auth (e.g., for SSR) must introduce double-submit CSRF tokens — out of v1 scope."
R19a.10,"19a. Web Security, Transport, and Trust Boundaries","The backend trusts X-Forwarded-For only when the immediate peer's address is in the configured TRUSTED_PROXIES CIDR list (defaults: 127.0.0.0/8, the Docker bridge subnet, and the operator-configured front-proxy subnet). Untrusted peers' X-Forwarded-For is ignored; the peer's own address is used as actor_ip."
R19a.11,"19a. Web Security, Transport, and Trust Boundaries","The trusted-proxy parser takes the right-most address in X-Forwarded-For that is NOT itself a trusted proxy, so an attacker cannot spoof the left-most entry."
R19a.12,"19a. Web Security, Transport, and Trust Boundaries","Registration (POST /api/auth/register) requires a CAPTCHA token verified server-side (R6.01). The CAPTCHA provider's public/private keys live in Vault KV (secret/smap/config/captcha)."
R19a.13,"19a. Web Security, Transport, and Trust Boundaries","Admin may set an email-domain allowlist or denylist in runtime config to block disposable-mail signups."
R20.01,"20. Non-Functional Requirements","Concurrency: sustain 100 heavy users, p95 end-to-end (excluding LLM roundtrip) ≤ 500 ms for API calls, ≤ 200 ms for WS event dispatch."
R20.02,"20. Non-Functional Requirements","Horizontal scalability: FastAPI nodes are stateless; session/rate-limit state in Redis; scaling is linear by adding backend replicas behind Nginx."
R20.03,"20. Non-Functional Requirements","Resource footprint (reference: single 16-core / 32 GB host): PG 4 GB, Redis 2 GB, Neo4j 4 GB, Qdrant 4 GB, MinIO 4 GB, Vault 1 GB, backend 8 GB, remainder headroom."
R20.04,"20. Non-Functional Requirements","Startup: docker compose up brings the full stack to ready state in ≤ 3 minutes on a warm host."
R20.05,"20. Non-Functional Requirements","i18n: all user-facing strings wrapped in translation helpers; English locale in v1; structural readiness for any number of locales (Q59)."
R20.06,"20. Non-Functional Requirements","Timezone: all timestamps in UTC at storage; the frontend renders in the user's browser timezone."
R20.07,"20. Non-Functional Requirements","Browser support: last 2 stable versions of Chrome, Edge, Firefox, Safari. Mobile: iOS Safari 15+, Chrome Android 110+."
R20.08,"20. Non-Functional Requirements","Accessibility: WCAG 2.1 AA target on core flows (login, chat, agent list)."
R20.09,"20. Non-Functional Requirements","Backup / DR: out of scope (Q61). The operator is expected to snapshot Postgres / Neo4j / Qdrant / MinIO volumes externally."
R20.10,"20. Non-Functional Requirements","No public API (Q62)."
R22.15.01,"22. REST API Surface","Endpoint: /api/tus (POST for creation; HEAD/PATCH for resume)."
R22.15.02,"22. REST API Surface","Required headers per tus spec: Tus-Resumable: 1.0.0, Upload-Length, Upload-Offset, Upload-Metadata."
R22.15.03,"22. REST API Surface","Upload-Metadata MUST include:"
R22.15.04,"22. REST API Surface","Server-side enforcement:"
R22.15.05,"22. REST API Surface","On completion the server returns:"
R22.15.06,"22. REST API Surface","The Creation POST itself is rate-limited (§19) at 20 / min / user, separate from the per-chunk PATCH calls which are 300 / min / user."
R22.15.07,"22. REST API Surface","Virus scanning hook: after completion, the backend dispatches a file.scan_requested worker task. Operators may configure ClamAV or equivalent; if not configured, a no-op passes the file. Files that fail the scan are quarantined, the parent resource is flagged status = 'quarantined', and an audit event attachment.quarantined / rag.document.quarantined is written."
R23.01,"23. Bounded Contexts (DDD layout)","No cross-context SQL joins. Cross-context reads go through the target context's application service."
R23.02,"23. Bounded Contexts (DDD layout)","Domain events are published via the shared event bus; handlers live inside the consuming context."
R23.03,"23. Bounded Contexts (DDD layout)","Every context exposes an application facade; api/ routers call only these facades, never repositories directly."
R24.01,"24. Frontend Architecture","L0 presentational components (aka ""dumb components"") take props, emit events, have zero imports from L3/L4. They are portable to Storybook without mocks."
R24.02,"24. Frontend Architecture","L2 API/WS is the ONLY layer that may import axios, fetch, or the native WebSocket constructor. Components, stores, and composables never touch transport directly."
R24.03,"24. Frontend Architecture","Transport (the axios instance and WS client singletons) lives in shared/transport/ and is imported only by L2."
R24.04,"24. Frontend Architecture","Views are thin: parse route params, call composables, pass props to components. No inline business logic."
R24.05,"24. Frontend Architecture","Barrel rule. A slice's index.ts exports only what other slices may consume: route table, public composables, public types. Everything else (components, stores, queries, internal types) is internal. ESLint's no-restricted-imports enforces this."
R24.06,"24. Frontend Architecture","Cross-slice dependency direction. Allowed: conversation → agent-groups → agents → keys → tenancy → identity → shared. conversation is the top-level host: it additionally imports workflow (the chatroom hosts approval cards and the DLQ viewer and calls the approval/wakeup api) and activities (chatroom-hosted plugins); both sit below conversation and must never import it back — workflow imports agent-groups/agents/keys/tenancy/identity and wraps the read-only workspace/chatroom lookups it needs in its own api/; activities imports agents/tenancy. The admin, notifications, and prompt-studio slices import only rightward. Disallowed: any reverse direction. The skills slice (§31) imports only keys and shared; it is imported by agents and admin. The agent-groups slice is a first-class, project-scoped slice owning agent-group CRUD, membership, and the group-owned Concept Map panel; it may import agents/keys/tenancy/identity/shared and is imported by conversation. Codified in the SLICE_DEPS map in eslint.config.js with the boundaries plugin (which requires the TS-alias import resolver to see @slices/* imports); violations fail CI."
R24.07,"24. Frontend Architecture","shared/ has no imports from any slice. One-way dependency by construction."
R24.08,"24. Frontend Architecture","TanStack Query owns every remote resource's cache. Query keys follow the pattern [slice, resource, ...params], e.g. ['agents','list', projectId]."
R24.09,"24. Frontend Architecture","Mutations use useMutation; on success they queryClient.invalidateQueries the relevant keys. WS events call the same invalidateQueries (or apply optimistic patches via setQueryData) — see §24.7."
R24.10,"24. Frontend Architecture","Pinia stores NEVER cache server data. They hold session tokens, CSRF nonce (future), UI preferences, the view-as impersonation flag, and in-progress multi-step form drafts."
R24.11,"24. Frontend Architecture","The JWT access token lives in a Pinia store kept only in memory. On page reload, the refresh token (kept as an httpOnly-like path via a secure refresh endpoint protected by SameSite=strict if cookies are ever added; in v1 refresh token lives in memory + a single sessionStorage key cleared on logout) is exchanged for a new access token."
R24.12,"24. Frontend Architecture","Axios interceptors (in order):"
R24.13,"24. Frontend Architecture","The OpenAPI-generated client (shared/api-client/) is the low-level layer: one function per endpoint, fully typed from the backend schema. Slice api/ folders wrap these into use-case-shaped calls (e.g., fetchAgentList(projectId)) that add domain semantics."
R24.14,"24. Frontend Architecture","WsManager is a singleton. Slice composables acquire channels through wsManager.channel('/ws/chatroom/abc') which returns a typed Channel object exposing subscribe(eventName, handler) and send(payload). Reconnect, backoff, auth refresh, and message buffering during reconnect are centralized. Components never import WebSocket."
R24.15,"24. Frontend Architecture","A presentational component with a *Container.vue sibling is preferred over a single smart component, wherever the view is used more than once."
R24.16,"24. Frontend Architecture","Naming convention: BaseFoo.vue (atom), Foo.vue (presentational), FooView.vue or FooContainer.vue (container). Storybook stories live next to presentational components in Foo.stories.ts."
R24.17,"24. Frontend Architecture","Each slice exports routes.ts with an array of RouteRecordRaw. app/router.ts composes them and adds a single not-found catch-all."
R24.18,"24. Frontend Architecture","Route meta declares auth requirements:"
R24.19,"24. Frontend Architecture","Guards are pure functions tested independently, composed in app/plugins/guards.ts:"
R24.20,"24. Frontend Architecture","Authorization on the frontend is advisory (per backend R5.05): every render-time permission check is paired with a server-side check. The frontend uses a <PermissionGate :cap=""'create_agent'"" :scope=""projectId""> component that short-circuits to a disabled or hidden state when the cached role cannot satisfy."
R24.21,"24. Frontend Architecture","A slice subscribing to a WS channel exposes a composable, e.g. useChatroomSocket(chatroomId), returning reactive refs updated from server events. Internally, the composable:"
R24.22,"24. Frontend Architecture","No component subscribes to WS directly. Components read from query cache / Pinia; the composable is the sole WS-aware layer in each slice."
R24.23,"24. Frontend Architecture","On reconnect, composables replay a delta fetch (e.g. GET /api/chatrooms/{id}/messages?since=) before resuming event application, to avoid gaps."
R24.24,"24. Frontend Architecture","Every form uses vee-validate with Zod as the schema resolver. Schemas live in slices/<n>/types/ and are reused for API request validation (client-side pre-flight)."
R24.25,"24. Frontend Architecture","Backend RFC 7807 errors with a top-level extension member field_errors: [{location, path, message}] are piped to vee-validate's setErrors() so server-side validation appears as inline or form-level errors without ad-hoc plumbing. location names the request part the failure came from (body, query, path, header, cookie) and path is relative to it; only body entries are attached to form fields, since a path or query failure can share a name with an input the user cannot correct."
R24.26,"24. Frontend Architecture","A <FormField> wrapper component handles label, error message, help text, and ARIA wiring — components never hand-roll this markup."
R24.27,"24. Frontend Architecture","(amended 2026-07-05) Base library: the in-house S* component library under frontend/src/shared/ui/ (43 components). No external UI kit; Element Plus was dropped before v1 implementation."
